# Last Local Modifications (sorted by filesystem mtime desc)
# Repo: /Volumes/LORULE/DEV/Projets/MDVZ/MidivisiVici
# Generated: 2026-03-12 01:06:06
# Status legend: M=modified, D=deleted, A=added(tracked), R=renamed, C=copied, ??=untracked

Timestamp            St   Path
-------------------  ---  ----
2026-03-12 01:05:32  ??   last_modifications_ordered.txt
2026-03-12 01:01:42  ??   JuceLibraryCode/include_juce_audio_processors_headless.cpp
2026-03-12 01:01:42  ??   JuceLibraryCode/include_juce_audio_processors_headless.mm
2026-03-12 01:01:42  ??   JuceLibraryCode/include_juce_audio_processors_headless_ara.cpp
2026-03-12 01:01:42  ??   JuceLibraryCode/include_juce_audio_processors_headless_lv2_libs.cpp
2026-03-12 01:01:42  ??   JuceLibraryCode/modules/juce_audio_basics/midi/juce_MidiDataConcatenator_test.cpp
2026-03-12 01:01:42  ??   JuceLibraryCode/modules/juce_audio_basics/midi/ump/juce_UMPStringUtils.cpp
2026-03-12 01:01:42  ??   JuceLibraryCode/modules/juce_audio_basics/midi/ump/juce_UMPStringUtils.h
2026-03-12 01:01:42  ??   JuceLibraryCode/modules/juce_audio_devices/midi_io/juce_ScheduledEventThread.h
2026-03-12 01:01:42  ??   JuceLibraryCode/modules/juce_audio_devices/midi_io/juce_WaitFreeListeners.cpp
2026-03-12 01:01:42  ??   JuceLibraryCode/modules/juce_audio_devices/midi_io/juce_WaitFreeListeners.h
2026-03-12 01:01:42  ??   JuceLibraryCode/modules/juce_audio_devices/midi_io/ump/juce_UMPBlock.h
2026-03-12 01:01:42  ??   JuceLibraryCode/modules/juce_audio_devices/midi_io/ump/juce_UMPDisconnectionListener.h
2026-03-12 01:01:42  ??   JuceLibraryCode/modules/juce_audio_devices/midi_io/ump/juce_UMPEndpoint.h
2026-03-12 01:01:42  ??   JuceLibraryCode/modules/juce_audio_devices/midi_io/ump/juce_UMPEndpointId.h
2026-03-12 01:01:42  ??   JuceLibraryCode/modules/juce_audio_devices/midi_io/ump/juce_UMPEndpoints.cpp
2026-03-12 01:01:42  ??   JuceLibraryCode/modules/juce_audio_devices/midi_io/ump/juce_UMPEndpoints.h
2026-03-12 01:01:42  ??   JuceLibraryCode/modules/juce_audio_devices/midi_io/ump/juce_UMPIOHelpers.cpp
2026-03-12 01:01:42  ??   JuceLibraryCode/modules/juce_audio_devices/midi_io/ump/juce_UMPInput.cpp
2026-03-12 01:01:42  ??   JuceLibraryCode/modules/juce_audio_devices/midi_io/ump/juce_UMPInput.h
